Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Politician,Sentence
0.07957422733306885,0.02392447553575039,0.0332757867872715,0.025182358920574188,0.020862676203250885,0.07755256444215775,0.5149050951004028,0.11100387573242188,Władysław Kosiniak-Kamysz,"Władysław Kosiniak-Kamysz poszedł do sklepu, aby kupić produkty spożywcze."
0.09669779241085052,0.03464638814330101,0.07938017696142197,0.06100740656256676,0.026771988719701767,0.10566728562116623,0.4876323640346527,0.20619843900203705,Władysław Kosiniak-Kamysz,"Przyszedł czas, aby Władysław Kosiniak-Kamysz wybrał film na wieczór."
0.07427272200584412,0.02398252673447132,0.023892894387245178,0.019503727555274963,0.02358713373541832,0.05752203240990639,0.5222237706184387,0.09498364478349686,Władysław Kosiniak-Kamysz,"Władysław Kosiniak-Kamysz zdecydował, że spotkanie zacznie się o dziesiątej."
0.10268568247556686,0.024497630074620247,0.0409998893737793,0.0331706702709198,0.017725303769111633,0.09179019182920456,0.5251510143280029,0.13268105685710907,Władysław Kosiniak-Kamysz,Ulubionym kolorem Władysław Kosiniak-Kamysz jest niebieski.
0.22593040764331818,0.01796138286590576,0.028232885524630547,0.034470945596694946,0.016163045540452003,0.09036783874034882,0.5774989128112793,0.14018623530864716,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz lubi czytać książki przed snem.
0.16973157227039337,0.01822582632303238,0.019366370514035225,0.017112188041210175,0.017108524218201637,0.1026844009757042,0.5692887306213379,0.10670654475688934,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz zjadł na lunch kanapkę i wypił filiżankę kawy.
0.05849579721689224,0.03321933373808861,0.0533825159072876,0.0382508747279644,0.020950831472873688,0.05007932335138321,0.4805741310119629,0.1118975430727005,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz zawsze jeździ do pracy autobusem.
0.3644905388355255,0.014450553804636002,0.018231483176350594,0.020281614735722542,0.01057830173522234,0.20287549495697021,0.6611567139625549,0.17261187732219696,Władysław Kosiniak-Kamysz,W dzień wolny Władysław Kosiniak-Kamysz lubi odwiedzać lokalne muzeum.
0.1410997360944748,0.017476292327046394,0.01847555860877037,0.014530496671795845,0.018366990610957146,0.1190997064113617,0.5681390762329102,0.11006307601928711,Szymon Hołownia,"Szymon Hołownia poszedł do sklepu, aby kupić produkty spożywcze."
0.2035081535577774,0.021819934248924255,0.023136181756854057,0.016412528231739998,0.01932993158698082,0.15388178825378418,0.5893577933311462,0.16591304540634155,Szymon Hołownia,"Przyszedł czas, aby Szymon Hołownia wybrał film na wieczór."
0.1474469155073166,0.016695402562618256,0.014395306818187237,0.01211150549352169,0.018910851329565048,0.11395164579153061,0.5843589901924133,0.10179277509450912,Szymon Hołownia,"Szymon Hołownia zdecydował, że spotkanie zacznie się o dziesiątej."
0.1907844841480255,0.016338808462023735,0.029504938051104546,0.02638682909309864,0.013662797398865223,0.1423085331916809,0.581447958946228,0.14217858016490936,Szymon Hołownia,Ulubionym kolorem Szymon Hołownia jest niebieski.
0.25452131032943726,0.018499549478292465,0.0193365216255188,0.023355135694146156,0.015238084830343723,0.11211537569761276,0.6055184006690979,0.1308886855840683,Szymon Hołownia,Szymon Hołownia lubi czytać książki przed snem.
0.29686489701271057,0.014738221652805805,0.012188224121928215,0.011951972730457783,0.01445126160979271,0.16074725985527039,0.6409578919410706,0.11814216524362564,Szymon Hołownia,Szymon Hołownia zjadł na lunch kanapkę i wypił filiżankę kawy.
